station_cd,station_g_cd,station_name,station_name_rn,line_cd,lon,lat
101005,101005,新大牟田,SHIN-OMUTA,1010,130.48875,33.07125
101006,101006,新玉名,SHIN-TAMANA,1010,130.573556,32.9425
101007,1190341,熊本,KUMAMOTO,1010,130.689401,32.790065
101008,1190348,新八代,SHIN-YATSUSHIRO,1010,130.634938,32.517843
101009,101009,新水俣,SHIN-MINAMATA,1010,130.42882,32.210736
101010,101010,出水,IZUMI,1010,130.35823,32.089586
101011,1190401,川内,SENDAI,1010,130.312083,31.813726
101012,1190411,鹿児島中央,KAGOSHIMA-CHUO,1010,130.541245,31.583785
101101,1120265,新青森,SHIN-AOMORI,1011,140.693472,40.8275
101102,1111802,奥津軽いまべつ,OKUTSUGARU-IMABETSU,1011,140.515453,41.145078
101103,1111806,木古内,KIKONAI,1011,140.4342735,41.67828093
101104,1110106,新函館北斗,SHIN-HAKODATE-HOKUTO,1011,140.6475,41.905
101105,101105,新八雲,SHIN-YAKUMO,1011,140.23175,42.255333
101106,1110138,長万部,OSHAMAMBE,1011,140.37507,42.512477
101107,1110211,倶知安,KUTCHAN,1011,140.745471,42.90164
101108,1110211,新小樽,SHIN-OTARU,1011,140.987944,43.162583
101109,1110315,札幌,SAPPORO,1011,141.350768,43.068612
101201,1191805,武雄温泉,TAKEO-ONSEN,1012,130.0229,33.196289
101202,101202,嬉野温泉,URESHINO-ONSEN,1012,129.998972,33.106556
101203,1192215,新大村,SHIN-OMURA,1012,129.956944,32.932778
101204,1190527,諫早,ISAHAYA,1012,130.041472,32.851839
101205,1190541,長崎,NAGASAKI,1012,129.869056,32.75275
1110101,1110101,函館,HAKODATE,11101,140.726413,41.773709
1110102,1110102,五稜郭,GORYOKAKU,11101,140.733539,41.803557
1110103,1110103,桔梗,KIKYO,11101,140.722952,41.846457
1110104,1110104,大中山,ONAKAYAMA,11101,140.71358,41.864641
1110105,1110105,七飯,NANAE,11101,140.688556,41.886971
1110106,1110106,新函館北斗,SHIN-HAKODATE-HOKUTO,11101,140.646525,41.9054
1110107,1110107,仁山,NIYAMA,11101,140.635183,41.930011
1110108,1110108,大沼,ONUMA,11101,140.669347,41.971954
1110109,1110109,大沼公園,ONUMA-KOEN,11101,140.669758,41.980958
1110110,1110110,赤井川,AKAIGAWA,11101,140.642678,42.003267
1110111,1110111,駒ケ岳,KOMAGATAKE,11101,140.610476,42.038809
1110112,1110112,東山,HIGASHIYAMA,11101,140.605222,42.06172
1110113,1110113,姫川,HIMEKAWA,11101,140.591632,42.081312
1110114,1110114,池田園,IKEDAEN,11101,140.700333,41.990692
1110115,1110115,流山温泉,NAGAREYAMA ONSEN,11101,140.716358,42.003483
1110116,1110116,銚子口,CHOSHIGUCHI,11101,140.720656,42.015471
1110117,1110117,鹿部,SHIKABE,11101,140.771393,42.06439
1110118,1110118,渡島沼尻,ONUMA-NUMAJIRI,11101,140.747596,42.10706
1110119,1110119,渡島砂原,OSHIMA-SAWARA,11101,140.689451,42.12164
1110120,1110120,掛澗,KAKARIMA,11101,140.64598,42.119205
1110121,1110121,尾白内,OSHIRONAI,11101,140.613449,42.111232
1110122,1110122,東森,HIGASHI-MORI,11101,140.59353,42.106823
1110123,1110123,森,MORI,11101,140.573846,42.108917
1110124,1110124,桂川,KATSURAGAWA,11101,140.5427876,42.1156004
1110125,1110125,石谷,ISHIYA,11101,140.506525,42.135519
1110126,1110126,本石倉,HON-ISHIKURA,11101,140.471957,42.159668
1110127,1110127,石倉,ISHIKURA,11101,140.458436,42.17285
1110128,1110128,落部,OTOSHIBE,11101,140.420755,42.187617
1110129,1110129,野田生,NODAOI,11101,140.37586,42.217104
1110130,1110130,山越,YAMAKOSHI,11101,140.326593,42.231172
1110131,1110131,八雲,YAKUMO,11101,140.273342,42.253391
1110132,1110132,鷲ノ巣,WASHINOSU,11101,140.269919,42.278389
1110133,1110133,山崎,YAMASAKI,11101,140.2746,42.314635
