line_cd,company_cd,line_name,line_name_rn,line_type,station_cd,station_g_cd,station_name,station_name_rn,lon,lat
1007,2,山形新幹線,Yamagata Shinkansen,1,100712,1121612,赤湯,AKAYU,140.149192,38.047214
1007,2,山形新幹線,Yamagata Shinkansen,1,100713,1121615,かみのやま温泉,KAMINOYAMAONSEN,140.278431,38.152093
1007,2,山形新幹線,Yamagata Shinkansen,1,100714,1121618,山形,YAMAGATA,140.327536,38.248645
1007,2,山形新幹線,Yamagata Shinkansen,1,100715,1121624,天童,TENDO,140.369612,38.36002
1007,2,山形新幹線,Yamagata Shinkansen,1,100716,1121627,さくらんぼ東根,SAKURAMBOHIGASHINE,140.381055,38.428363
1007,2,山形新幹線,Yamagata Shinkansen,1,100717,1121629,村山,MURAYAMA,140.386355,38.477153
1007,2,山形新幹線,Yamagata Shinkansen,1,100718,1121631,大石田,OISHIDA,140.375269,38.595724
1007,2,山形新幹線,Yamagata Shinkansen,1,100719,1120201,新庄,SHINJO,140.305792,38.762249
1008,2,秋田新幹線,Akita Shinkansen,1,100801,1130101,東京,TOKYO,139.766084,35.681382
1008,2,秋田新幹線,Akita Shinkansen,1,100802,1130220,上野,UENO,139.777254,35.713768
1008,2,秋田新幹線,Akita Shinkansen,1,100803,1131906,大宮,OMIYA,139.624,35.906206
1008,2,秋田新幹線,Akita Shinkansen,1,100804,1131918,小山,OYAMA,139.80685,36.3142
1008,2,秋田新幹線,Akita Shinkansen,1,100805,1131923,宇都宮,UTSUNOMIYA,139.898283,36.558701
1008,2,秋田新幹線,Akita Shinkansen,1,100806,1131932,那須塩原,NASUSHIOBARA,140.020514,36.931772
1008,2,秋田新幹線,Akita Shinkansen,1,100807,1123106,新白河,SHIN-SHIRAKAWA,140.188998,37.123281
1008,2,秋田新幹線,Akita Shinkansen,1,100808,1123114,郡山,KORIYAMA,140.388412,37.397983
1008,2,秋田新幹線,Akita Shinkansen,1,100809,1123124,福島,FUKUSHIMA,140.458724,37.754311
1008,2,秋田新幹線,Akita Shinkansen,1,100810,100410,白石蔵王,SHIROISHIZAO,140.633035,37.995485
1008,2,秋田新幹線,Akita Shinkansen,1,100811,1123143,仙台,SENDAI,140.882244,38.260286
1008,2,秋田新幹線,Akita Shinkansen,1,100812,1122104,古川,FURUKAWA,140.967832,38.57092
1008,2,秋田新幹線,Akita Shinkansen,1,100813,100413,くりこま高原,KURIKOMA-KOGEN,141.071785,38.74893
1008,2,秋田新幹線,Akita Shinkansen,1,100814,1123166,一ノ関,ICHINOSEKI,141.13889,38.92608
1008,2,秋田新幹線,Akita Shinkansen,1,100815,100415,水沢江刺,MIZUSAWAESASHI,141.188803,39.145194
1008,2,秋田新幹線,Akita Shinkansen,1,100816,1123174,北上,KITAKAMI,141.122598,39.282229
1008,2,秋田新幹線,Akita Shinkansen,1,100817,1120903,新花巻,SHIN-HANAMAKI,141.173715,39.406453
1008,2,秋田新幹線,Akita Shinkansen,1,100818,1123185,盛岡,MORIOKA,141.136369,39.701683
1008,2,秋田新幹線,Akita Shinkansen,1,100819,1121104,雫石,SHIZUKUISHI,140.974848,39.689352
1008,2,秋田新幹線,Akita Shinkansen,1,100820,1121107,田沢湖,TAZAWAKO,140.722419,39.700272
1008,2,秋田新幹線,Akita Shinkansen,1,100821,1121111,角館,KAKUNODATE,140.570988,39.591716
1008,2,秋田新幹線,Akita Shinkansen,1,100822,1120220,大曲,OMAGARI,140.479732,39.465454
1008,2,秋田新幹線,Akita Shinkansen,1,100823,1120228,秋田,AKITA,140.129743,39.716845
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100901,1130101,東京,TOKYO,139.766084,35.681382
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100902,1130220,上野,UENO,139.777254,35.713768
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100903,1131906,大宮,OMIYA,139.624,35.906206
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100904,1132316,熊谷,KUMAGAYA,139.389942,36.139702
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100905,100505,本庄早稲田,HONJOWASEDA,139.179739,36.218575
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100906,1131816,高崎,TAKASAKI,139.013057,36.322356
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100907,100907,安中榛名,ANNAKAHARUNA,138.849589,36.362408
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100908,9940301,軽井沢,KARUIZAWA,138.635062,36.34255
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100909,1140125,佐久平,SAKUDAIRA,138.464339,36.277898
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100910,9940311,上田,UEDA,138.249736,36.396498
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100911,1140305,長野,NAGANO,138.188686,36.643
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100912,1140710,飯山,IIYAMA,138.358596,36.84562
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100913,1140317,上越妙高,JOETSUMYOKO,138.2484867,37.08135716
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100914,1140516,糸魚川,ITOIGAWA,137.8615099,37.04330468
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100915,100915,黒部宇奈月温泉,KUROBE-UNAZUKIONSEN,137.4801774,36.87316273
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100916,100916,富山,TOYAMA,137.213141,36.701653
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100917,100917,新高岡,SHIN-TAKAOKA,137.010459,36.727004
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100918,100918,金沢,KANAZAWA,136.648166,36.578117
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100919,1141534,小松,KOMATSU,136.452742,36.401889
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100920,1141531,加賀温泉,KAGAONSEN,136.350492,36.320328
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100921,1141527,芦原温泉,AWARAONSEN,136.235,36.214444
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100922,1141523,福井,FUKUI,136.223333,36.062083
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100923,100923,越前たけふ,ECHIZEN-TAKEFU,136.198889,35.895667
1009,2,北陸新幹線,Hokuriku Shinkansen,1,100924,1141512,敦賀,TSURUGA,136.076294,35.645161
1010,6,九州新幹線,Kyushu Shinkansen,1,101001,1190101,博多,HAKATA,130.420622,33.590002
1010,6,九州新幹線,Kyushu Shinkansen,1,101002,1190542,新鳥栖,SHIN-TOSU,130.491194,33.370194
1010,6,九州新幹線,Kyushu Shinkansen,1,101003,1190318,久留米,KURUME,130.501888,33.320409
1010,6,九州新幹線,Kyushu Shinkansen,1,101004,1190322,筑後船小屋,CHIKUGO-FUNAGOYA,130.492389,33.177917
1010,6,九州新幹線,Kyushu Shinkansen,1,101005,101005,新大牟田,SHIN-OMUTA,130.48875,33.07125
1010,6,九州新幹線,Kyushu Shinkansen,1,101006,101006,新玉名,SHIN-TAMANA,130.573556,32.9425
1010,6,九州新幹線,Kyushu Shinkansen,1,101007,1190341,熊本,KUMAMOTO,130.689401,32.790065
1010,6,九州新幹線,Kyushu Shinkansen,1,101008,1190348,新八代,SHIN-YATSUSHIRO,130.634938,32.517843
1010,6,九州新幹線,Kyushu Shinkansen,1,101009,101009,新水俣,SHIN-MINAMATA,130.42882,32.210736
1010,6,九州新幹線,Kyushu Shinkansen,1,101010,101010,出水,IZUMI,130.35823,32.089586
1010,6,九州新幹線,Kyushu Shinkansen,1,101011,1190401,川内,SENDAI,130.312083,31.813726
1010,6,九州新幹線,Kyushu Shinkansen,1,101012,1190411,鹿児島中央,KAGOSHIMA-CHUO,130.541245,31.583785
1011,1,北海道新幹線,Hokkaido Shinkansen,1,101101,1120265,新青森,SHIN-AOMORI,140.693472,40.8275
1011,1,北海道新幹線,Hokkaido Shinkansen,1,101102,1111802,奥津軽いまべつ,OKUTSUGARU-IMABETSU,140.515453,41.145078
1011,1,北海道新幹線,Hokkaido Shinkansen,1,101103,1111806,木古内,KIKONAI,140.4342735,41.67828093
1011,1,北海道新幹線,Hokkaido Shinkansen,1,101104,1110106,新函館北斗,SHIN-HAKODATE-HOKUTO,140.6475,41.905
1011,1,北海道新幹線,Hokkaido Shinkansen,1,101105,101105,新八雲,SHIN-YAKUMO,140.23175,42.255333
1011,1,北海道新幹線,Hokkaido Shinkansen,1,101106,1110138,長万部,OSHAMAMBE,140.37507,42.512477
1011,1,北海道新幹線,Hokkaido Shinkansen,1,101107,1110211,倶知安,KUTCHAN,140.745471,42.90164
1011,1,北海道新幹線,Hokkaido Shinkansen,1,101108,1110211,新小樽,SHIN-OTARU,140.987944,43.162583
1011,1,北海道新幹線,Hokkaido Shinkansen,1,101109,1110315,札幌,SAPPORO,141.350768,43.068612
1012,6,西九州新幹線,Nishi-Kyushu Shinkansen,1,101201,1191805,武雄温泉,TAKEO-ONSEN,130.0229,33.196289
1012,6,西九州新幹線,Nishi-Kyushu Shinkansen,1,101202,101202,嬉野温泉,URESHINO-ONSEN,129.998972,33.106556
1012,6,西九州新幹線,Nishi-Kyushu Shinkansen,1,101203,1192215,新大村,SHIN-OMURA,129.956944,32.932778
1012,6,西九州新幹線,Nishi-Kyushu Shinkansen,1,101204,1190527,諫早,ISAHAYA,130.041472,32.851839
1012,6,西九州新幹線,Nishi-Kyushu Shinkansen,1,101205,1190541,長崎,NAGASAKI,129.869056,32.75275
11101,1,函館本線,Hakodate Main Line,2,1110101,1110101,函館,HAKODATE,140.726413,41.773709
11101,1,函館本線,Hakodate Main Line,2,1110102,1110102,五稜郭,GORYOKAKU,140.733539,41.803557
11101,1,函館本線,Hakodate Main Line,2,1110103,1110103,桔梗,KIKYO,140.722952,41.846457
11101,1,函館本線,Hakodate Main Line,2,1110104,1110104,大中山,ONAKAYAMA,140.71358,41.864641
11101,1,函館本線,Hakodate Main Line,2,1110105,1110105,七飯,NANAE,140.688556,41.886971
11101,1,函館本線,Hakodate Main Line,2,1110106,1110106,新函館北斗,SHIN-HAKODATE-HOKUTO,140.646525,41.9054
11101,1,函館本線,Hakodate Main Line,2,1110107,1110107,仁山,NIYAMA,140.635183,41.930011
11101,1,函館本線,Hakodate Main Line,2,1110108,1110108,大沼,ONUMA,140.669347,41.971954
11101,1,函館本線,Hakodate Main Line,2,1110109,1110109,大沼公園,ONUMA-KOEN,140.669758,41.980958
11101,1,函館本線,Hakodate Main Line,2,1110110,1110110,赤井川,AKAIGAWA,140.642678,42.003267
11101,1,函館本線,Hakodate Main Line,2,1110111,1110111,駒ケ岳,KOMAGATAKE,140.610476,42.038809
11101,1,函館本線,Hakodate Main Line,2,1110112,1110112,東山,HIGASHIYAMA,140.605222,42.06172
11101,1,函館本線,Hakodate Main Line,2,1110113,1110113,姫川,HIMEKAWA,140.591632,42.081312
11101,1,函館本線,Hakodate Main Line,2,1110114,1110114,池田園,IKEDAEN,140.700333,41.990692
11101,1,函館本線,Hakodate Main Line,2,1110115,1110115,流山温泉,NAGAREYAMA ONSEN,140.716358,42.003483
11101,1,函館本線,Hakodate Main Line,2,1110116,1110116,銚子口,CHOSHIGUCHI,140.720656,42.015471
11101,1,函館本線,Hakodate Main Line,2,1110117,1110117,鹿部,SHIKABE,140.771393,42.06439
11101,1,函館本線,Hakodate Main Line,2,1110118,1110118,渡島沼尻,ONUMA-NUMAJIRI,140.747596,42.10706
11101,1,函館本線,Hakodate Main Line,2,1110119,1110119,渡島砂原,OSHIMA-SAWARA,140.689451,42.12164
11101,1,函館本線,Hakodate Main Line,2,1110120,1110120,掛澗,KAKARIMA,140.64598,42.119205
11101,1,函館本線,Hakodate Main Line,2,1110121,1110121,尾白内,OSHIRONAI,140.613449,42.111232
11101,1,函館本線,Hakodate Main Line,2,1110122,1110122,東森,HIGASHI-MORI,140.59353,42.106823
11101,1,函館本線,Hakodate Main Line,2,1110123,1110123,森,MORI,140.573846,42.108917
11101,1,函館本線,Hakodate Main Line,2,1110124,1110124,桂川,KATSURAGAWA,140.5427876,42.1156004
11101,1,函館本線,Hakodate Main Line,2,1110125,1110125,石谷,ISHIYA,140.506525,42.135519
11101,1,函館本線,Hakodate Main Line,2,1110126,1110126,本石倉,HON-ISHIKURA,140.471957,42.159668
11101,1,函館本線,Hakodate Main Line,2,1110127,1110127,石倉,ISHIKURA,140.458436,42.17285
11101,1,函館本線,Hakodate Main Line,2,1110128,1110128,落部,OTOSHIBE,140.420755,42.187617
11101,1,函館本線,Hakodate Main Line,2,1110129,1110129,野田生,NODAOI,140.37586,42.217104
11101,1,函館本線,Hakodate Main Line,2,1110130,1110130,山越,YAMAKOSHI,140.326593,42.231172
11101,1,函館本線,Hakodate Main Line,2,1110131,1110131,八雲,YAKUMO,140.273342,42.253391
11101,1,函館本線,Hakodate Main Line,2,1110132,1110132,鷲ノ巣,WASHINOSU,140.269919,42.278389
11101,1,函館本線,Hakodate Main Line,2,1110133,1110133,山崎,YAMASAKI,140.2746,42.314635
11101,1,函館本線,Hakodate Main Line,2,1110134,1110134,黒岩,KUROIWA,140.288173,42.368296
11101,1,函館本線,Hakodate Main Line,2,1110135,1110135,北豊津,KITA‐TOYOTSU,140.297868,42.400969
11101,1,函館本線,Hakodate Main Line,2,1110136,1110136,国縫,KUNNUI,140.320885,42.439319
11101,1,函館本線,Hakodate Main Line,2,1110137,1110137,中ノ沢,NAKANOSAWA,140.346077,42.477928
11101,1,函館本線,Hakodate Main Line,2,1110138,1110138,長万部,OSHAMAMBE,140.37507,42.512477
11102,1,函館本線,Hakodate Main Line,2,1110201,1110138,長万部,OSHAMAMBE,140.37507,42.512477
11102,1,函館本線,Hakodate Main Line,2,1110202,1110202,二股,FUTAMATA,140.320821,42.575869
11102,1,函館本線,Hakodate Main Line,2,1110203,1110203,蕨岱,WARABITAI,140.313353,42.626353
11102,1,函館本線,Hakodate Main Line,2,1110204,1110204,黒松内,KUROMATSUNAI,140.305704,42.669608
11102,1,函館本線,Hakodate Main Line,2,1110205,1110205,熱郛,NEPPU,140.375084,42.675653
11102,1,函館本線,Hakodate Main Line,2,1110206,1110206,目名,MENA,140.465742,42.761432
11102,1,函館本線,Hakodate Main Line,2,1110207,1110207,蘭越,RANKOSHI,140.52894,42.804542
11102,1,函館本線,Hakodate Main Line,2,1110208,1110208,昆布,KOMBU,140.596107,42.797984
11102,1,函館本線,Hakodate Main Line,2,1110209,1110209,ニセコ,NISEKO,140.684588,42.808746
11102,1,函館本線,Hakodate Main Line,2,1110210,1110210,比羅夫,HIRAFU,140.722615,42.84856
11102,1,函館本線,Hakodate Main Line,2,1110211,1110211,倶知安,KUTCHAN,140.745471,42.90164
11102,1,函館本線,Hakodate Main Line,2,1110212,1110212,小沢,KOZAWA,140.677657,42.97185
11102,1,函館本線,Hakodate Main Line,2,1110213,1110213,銀山,GINZAN,140.715321,43.040888
